CC,defaultDescription,conceptID
BILAT UE FRACTURE,B Arm fracture,23406007-B
BILAT UE FX,B Arm fracture,23406007-B
BILAT UE INJ,B Arm injury,127278005-B
BILAT UE INJURY,B Arm injury,127278005-B
BILAT UE LAC,B Arm laceration,283366003-B
BILAT UE LACERATION,B Arm laceration,283366003-B
BILAT UE NUMBNESS,B Arm numbness,298753001-B
BILAT UE PAIN,B Arm pain,102556003-B
BILAT UE REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
BILAT UE SWELLING,B Arm swelling,449618007-B
BILAT UE WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
BILAT ULNA FX,B Ulna fx,54556006-B
BILAT UPPER BACK PAIN,B Upper back pain,279038004-B
BILAT UPPER EXTREMITY BURN,B Arm burn,6055000-B
BILAT UPPER EXTREMITY INJ,B Arm injury,127278005-B
BILAT UPPER EXTREMITY INJURY,B Arm injury,127278005-B
BILAT UPPER EXTREMITY SWELLING,B Arm swelling,449618007-B
BILAT UPPER LIMB ABSECSS,B Arm abscess,315597005-B
BILAT UPPER LIMB BURN,B Arm burn,6055000-B
BILAT WEAK,B Weakness,26544005-B
BILAT WEAKNES,B Weakness,26544005-B
BILAT WEAKNESS,B Weakness,26544005-B
BILAT WRIST ABSCESS,B Wrist abscess,36281004-B
BILAT WRIST BURN,B Wrist burn,3480002-B
BILAT WRIST CRUSH INJ,B Wrist crush injury,47814001-B
BILAT WRIST CRUSH INJURY,B Wrist crush injury,47814001-B
BILAT WRIST INJ,B Wrist injury,125598003-B
BILAT WRIST INJURY,B Wrist injury,125598003-B
BILAT WRIST LAC,B Wrist laceration,283372003-B
BILAT WRIST LACERATION,B Wrist laceration,283372003-B
BILAT WRIST PAIN,B Wrist pain,56608008-B
BILAT-SIDE +DVT,B DVT,128053003-B
BILAT-SIDE ABDOMEN LAC,B Abdomen laceration,283378004-B
BILAT-SIDE ABDOMEN LACERATION,B Abdomen laceration,283378004-B
BILAT-SIDE ANKLE ABSCESS,B Ankle abscess,58196009-B
BILAT-SIDE ANKLE BURN,B Ankle burn,40993007-B
BILAT-SIDE ANKLE CRUSH INJ,B Ankle crush injury,65896005-B
BILAT-SIDE ANKLE CRUSH INJURY,B Ankle crush injury,65896005-B
BILAT-SIDE ANKLE FRACTURE,B Ankle fx,16114001-B
BILAT-SIDE ANKLE FX,B Ankle fx,16114001-B
BILAT-SIDE ANKLE INJ,B Ankle injury,125603006-B
BILAT-SIDE ANKLE INJURY,B Ankle injury,125603006-B
BILAT-SIDE ANKLE LAC,B Ankle laceration,283390002-B
BILAT-SIDE ANKLE LACERATION,B Ankle laceration,283390002-B
BILAT-SIDE ANKLE PAIN,B Ankle pain,247373008-B
BILAT-SIDE ANKLE SWELLING,B Ankle swelling,267039000-B
BILAT-SIDE ARM ABSCESS,B Arm abscess,315597005-B
BILAT-SIDE ARM BURN,B Arm burn,6055000-B
BILAT-SIDE ARM CELLULITIS,B Arm cellulitis,449671007-B
BILAT-SIDE ARM CRUSH INJ,B Arm crush injury,9560007-B
BILAT-SIDE ARM CRUSH INJURY,B Arm crush injury,9560007-B
BILAT-SIDE ARM DVT,B Arm DVT,128054009-B
BILAT-SIDE ARM FRACTURE,B Arm fracture,23406007-B
BILAT-SIDE ARM FX,B Arm fracture,23406007-B
BILAT-SIDE ARM INJ,B Arm injury,127278005-B
BILAT-SIDE ARM INJURY,B Arm injury,127278005-B
BILAT-SIDE ARM LAC,B Arm laceration,283366003-B
BILAT-SIDE ARM LACERATION,B Arm laceration,283366003-B
BILAT-SIDE ARM NUMBNESS,B Arm numbness,298753001-B
BILAT-SIDE ARM PAIN,B Arm pain,102556003-B
BILAT-SIDE ARM REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
BILAT-SIDE ARM SWELLING,B Arm swelling,449618007-B
BILAT-SIDE ARM WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
BILAT-SIDE AXILLA ABSCESS,B Axilla abscess,13802001-B
BILAT-SIDE AXILLA BURN,B Axilla burn,84493007-B
BILAT-SIDE AXILLA LAC,B Axilla laceration,283368002-B
BILAT-SIDE AXILLA LACERATION,B Axilla laceration,283368002-B
BILAT-SIDE AXILLARY ABSCESS,B Axilla abscess,13802001-B
BILAT-SIDE BACK LAC,B Back laceration,274171001-B
BILAT-SIDE BACK LACERATION,B Back laceration,274171001-B
BILAT-SIDE BACK PAIN,B Back pain,161891005-B
BILAT-SIDE BACKPAIN,B Back pain,161891005-B
BILAT-SIDE BODY PAIN,B Body pain,279001004-B
BILAT-SIDE BREAST ABSCESS,B Breast abscess,28432003-B
BILAT-SIDE BREAST BURN,B Breast burn,80433004-B
BILAT-SIDE BREAST ERYTHEMA,B Breast erythema,290070001-B
BILAT-SIDE BREAST LAC,B Breast laceration,283376000-B
BILAT-SIDE BREAST LACERATION,B Breast laceration,283376000-B
BILAT-SIDE BREAST PAIN,B Breast pain,53430007-B
BILAT-SIDE BREAST TENDERNESS,B Tender breast,55222007-B
BILAT-SIDE BUTTOCK ABSCESS,B Gluteal abscess,64576003-B
BILAT-SIDE BUTTOCK LAC,B Buttock laceration,283383007-B
BILAT-SIDE BUTTOCK LACERATION,B Buttock laceration,283383007-B
BILAT-SIDE C/P,B Chest pain,29857009-B
BILAT-SIDE CALCANEUS FX,B Calcaneus fx,263247007-B
BILAT-SIDE CALF LAC,B Calf laceration,283389006-B
BILAT-SIDE CALF LACERATION,B Calf laceration,283389006-B
BILAT-SIDE CALF PAIN,B Calf pain,300954003-B
BILAT-SIDE CAROTID ARTERY DISSECTION,B Carotid artery dissection,230729006-B
BILAT-SIDE CAROTID DISSECTION,B Carotid artery dissection,230729006-B
BILAT-SIDE CHEEK ABSCESS,B Cheek abscess,308661000-B
BILAT-SIDE CHEEK LAC,B Cheek laceration,283362001-B
BILAT-SIDE CHEEK LACERATION,B Cheek laceration,283362001-B
BILAT-SIDE CHEEK PAIN,B Cheek pain,473008002-B
BILAT-SIDE CHEST PAIN,B Chest pain,29857009-B
BILAT-SIDE CHEST PAIN (CARDIAC FEATURES),B Chest pain,29857009-B
BILAT-SIDE CHEST PAIN (NONCARDIAC FEATURES),B Chest pain,29857009-B
BILAT-SIDE CHEST PAINS,B Chest pain,29857009-B
BILAT-SIDE CHEST PRESSURE,B Chest pain,29857009-B
BILAT-SIDE CHEST TIGHTNESS,B Chest pain,29857009-B
BILAT-SIDE CHEST WALL LAC,B Chest wall laceration,274167004-B
BILAT-SIDE CHEST WALL LACERATION,B Chest wall laceration,274167004-B
BILAT-SIDE CHIN LAC,B Chin laceration,110077007-B
BILAT-SIDE CHIN LACERATION,B Chin laceration,110077007-B
BILAT-SIDE CLAVICLE FRACTURE,B Clavicle fracture,58150001-B
BILAT-SIDE CLAVICLE FX,B Clavicle fracture,58150001-B
BILAT-SIDE CLAVICLE PAIN,B Clavicle pain,203509009-B
BILAT-SIDE CLAVICULAR PAIN,B Clavicle pain,203509009-B
BILAT-SIDE CLOSED HIP FRACTURE,B Closed hip fracture,359817006-B
BILAT-SIDE CLOSED HIP FX,B Closed hip fracture,359817006-B
BILAT-SIDE COLLAR BONE FRACTURE,B Clavicle fracture,58150001-B
BILAT-SIDE COLLAR BONE FX,B Clavicle fracture,58150001-B
BILAT-SIDE CP,B Chest pain,29857009-B
BILAT-SIDE CP - CHEST PAIN,B Chest pain,29857009-B
BILAT-SIDE DECREASED HEARING,B Hearling loss,103276001-B
BILAT-SIDE DVT,B DVT,128053003-B
BILAT-SIDE DVT - DEEP VEIN THROMBOSIS,B DVT,128053003-B
BILAT-SIDE EAR ACHE,B Ear pain,16001004-B
BILAT-SIDE EAR BURN,B Ear burn,39065001-B
BILAT-SIDE EAR CRUSH INJ,B Ear crush injury,67070005-B
BILAT-SIDE EAR CRUSH INJURY,B Ear crush injury,67070005-B
BILAT-SIDE EAR DISCHARGE,B Ear discharge,300132001-B
BILAT-SIDE EAR FOREIGN BODY,B Ear foreign body,75441006-B
BILAT-SIDE EAR INJ,B Ear injury,2999009-B
BILAT-SIDE EAR INJURY,B Ear injury,2999009-B
BILAT-SIDE EAR LAC,B Ear Laceration,283361008-B
BILAT-SIDE EAR LACERATION,B Ear Laceration,283361008-B
BILAT-SIDE EAR PAIN,B Ear pain,16001004-B
BILAT-SIDE EAR SWELLING,B Ear swelling,300874009-B
BILAT-SIDE EARACHE,B Ear pain,16001004-B
BILAT-SIDE EBLOW FX,B Elbow fracture,309464009-B
BILAT-SIDE ELBOW BURN,B Elbow burn,18084001-B
BILAT-SIDE ELBOW CRUSH INJ,B Elbow crush injury,5450005-B
BILAT-SIDE ELBOW CRUSH INJURY,B Elbow crush injury,5450005-B
BILAT-SIDE ELBOW FRACTURE,B Elbow fracture,309464009-B
BILAT-SIDE ELBOW FX,B Elbow fracture,309464009-B
BILAT-SIDE ELBOW LAC,B Elbow laceration,283370006-B
BILAT-SIDE ELBOW LACERATION,B Elbow laceration,283370006-B
BILAT-SIDE ELBOW PAIN,B Elbow pain,74323005-B
BILAT-SIDE EPISTAXIS,B Epistaxis,249366005-B
BILAT-SIDE EPISTAXSIS,B Epistaxis,249366005-B
BILAT-SIDE EYE BURN,B Eye burn,274205003-B
BILAT-SIDE EYE DISCHARGE,B Eye discharge,246679005-B
BILAT-SIDE EYE EVAL,B Eye eval,118235002-B
BILAT-SIDE EYE FINDING,B Eye eval,118235002-B
BILAT-SIDE EYE FOREIGN BODY SENSATION,B Eye foreign body sensation,3283003-B
BILAT-SIDE EYE PAIN,B Eye pain,41652007-B
BILAT-SIDE EYE REDNESS,B Eye redness,246676003-B
BILAT-SIDE EYE SWELLING,B Eye swelling,9404003-B
BILAT-SIDE EYELID ABSCESS,B Eyelid abscess,76126009-B
BILAT-SIDE EYELID LAC,B Eyelid laceration,231816006-B
BILAT-SIDE EYELID LACERATION,B Eyelid laceration,231816006-B
BILAT-SIDE FACE INJ,B Facial injury,125593007-B
BILAT-SIDE FACE INJURY,B Facial injury,125593007-B
BILAT-SIDE FACE NUMBNESS,B Facial numbness,309557009-B
BILAT-SIDE FACE PAIN,B Facial pain,95668009-B
BILAT-SIDE FACIAL DROOP,B Facial droop,95667004-B
BILAT-SIDE FACIAL INJ,B Facial injury,125593007-B
BILAT-SIDE FACIAL INJURY,B Facial injury,125593007-B
BILAT-SIDE FACIAL LAC,B Facial laceration,370247008-B
BILAT-SIDE FACIAL LACERATION,B Facial laceration,370247008-B
BILAT-SIDE FACIAL NUMBNESS,B Facial numbness,309557009-B
BILAT-SIDE FACIAL PAIN,B Facial pain,95668009-B
BILAT-SIDE FACIAL SWELLING,B Facial swelling,278528006-B
BILAT-SIDE FEET PAIN,B Foot pain,47933007-B
BILAT-SIDE FEMER FX,B Femur fracture,71620000-B
BILAT-SIDE FEMUR FRACTURE,B Femur fracture,71620000-B
BILAT-SIDE FEMUR FX,B Femur fracture,71620000-B
BILAT-SIDE FIBULA FRACTURE,B Fibula fracture,75591007-B
BILAT-SIDE FIBULA FX,B Fibula fracture,75591007-B
BILAT-SIDE FINGER ABSCESS,B Finger abscess,21092002-B
BILAT-SIDE FINGER BURN,B Finger burn,82057004-B
BILAT-SIDE FINGER CRUSH INJ,B Finger crush injury,10380004-B
BILAT-SIDE FINGER CRUSH INJURY,B Finger crush injury,10380004-B
BILAT-SIDE FINGER FRACTURE,B Finger fracture,18171007-B
BILAT-SIDE FINGER FX,B Finger fracture,18171007-B
BILAT-SIDE FINGER INJ,B Finger injury,52011008-B
BILAT-SIDE FINGER INJURY,B Finger injury,52011008-B
BILAT-SIDE FINGER LAC,B Finger laceration,274172008-B
BILAT-SIDE FINGER LACERATION,B Finger laceration,274172008-B
BILAT-SIDE FINGER NUMB,B Finger numb,309536001-B
BILAT-SIDE FINGER NUMBNESS,B Finger numb,309536001-B
BILAT-SIDE FINGER PAIN,B Finger pain,18876004-B
BILAT-SIDE FINGER REDNESS,B Finger redness,f178d592c5ea11e4b987525400010026-B
BILAT-SIDE FINGER SWELLING,B Finger swelling,299060006-B
BILAT-SIDE FINGER TENDON LAC,B Finger tendon laceration,446313009-B
BILAT-SIDE FINGER TENDON LACERATION,B Finger tendon laceration,446313009-B
BILAT-SIDE FLANK ABSCESS,B Flank abscess,65967008-B
BILAT-SIDE FLANK PAIN,B Flank pain,247355005-B
BILAT-SIDE FOOT ABSCESS,B Foot abscess,301706005-B
BILAT-SIDE FOOT BURN,B Foot burn,11980003-B
BILAT-SIDE FOOT CRUSH INJ,B Foot crush injury,43422002-B
BILAT-SIDE FOOT CRUSH INJURY,B Foot crush injury,43422002-B
BILAT-SIDE FOOT EDEMA,B Pedal edema,102576009-B
BILAT-SIDE FOOT FRACTURE,B Foot fracture,15574005-B
BILAT-SIDE FOOT FX,B Foot fracture,15574005-B
BILAT-SIDE FOOT INJ,B Foot injury,125604000-B
BILAT-SIDE FOOT INJURY,B Foot injury,125604000-B
BILAT-SIDE FOOT LAC,B Foot laceration,284551006-B
BILAT-SIDE FOOT LACERATION,B Foot laceration,284551006-B
BILAT-SIDE FOOT NUMBNESS,B Foot numbness,309538000-B
BILAT-SIDE FOOT PAIN,B Foot pain,47933007-B
BILAT-SIDE FOOT PARESTHESIA,B Foot paresthesia,309087008-B
BILAT-SIDE FOOT REDNESS,B Foot redness,d6f96bc0c73711e4b8b2525400010026-B
BILAT-SIDE FOOT SWELLING,B Foot swelling,297142003-B
BILAT-SIDE FOOT ULCER,B Foot ulcer,95345008-B
BILAT-SIDE FOREARM ABSCESS,B Forearm abscess,58964002-B
BILAT-SIDE FOREARM BURN,B Forearm burn,80827001-B
BILAT-SIDE FOREARM CRUSH INJ,B Forearm crush injury,111693009-B
BILAT-SIDE FOREARM CRUSH INJURY,B Forearm crush injury,111693009-B
BILAT-SIDE FOREARM FRACTURE,B Forearm fracture,65966004-B
BILAT-SIDE FOREARM FX,B Forearm fracture,65966004-B
BILAT-SIDE FOREARM INJ,B Forearm injury,125597008-B
BILAT-SIDE FOREARM INJURY,B Forearm injury,125597008-B
BILAT-SIDE FOREARM LAC,B Forearm laceration,283371005-B
BILAT-SIDE FOREARM LACERATION,B Forearm laceration,283371005-B
BILAT-SIDE FOREARM PAIN,B Forearm pain,444899003-B
BILAT-SIDE FOREHEAD LAC,B Forehead laceration,283359004-B
BILAT-SIDE FOREHEAD LACERATION,B Forehead laceration,283359004-B
BILAT-SIDE FRACTURE OF SCAPULA,B Fracture of scapula,9682006-B
BILAT-SIDE FX OF SCAPULA,B Fracture of scapula,9682006-B
BILAT-SIDE GENERAL WEAKNESS,B Weakness,26544005-B
BILAT-SIDE GENERALIZED WEAKNESS,B Weakness,26544005-B
BILAT-SIDE GINGIVAE LAC,B Gum laceration,286622004-B
BILAT-SIDE GINGIVAE LACERATION,B Gum laceration,286622004-B
BILAT-SIDE GLUTEAL ABSCESS,B Gluteal abscess,64576003-B
BILAT-SIDE GROIN ABSCESS,B Groin abscess,79216009-B
BILAT-SIDE GROIN LAC,B Groin laceration,283382002-B
BILAT-SIDE GROIN LACERATION,B Groin laceration,283382002-B
BILAT-SIDE GROIN PAIN,B Inguinal pain,102570003-B
BILAT-SIDE GUM LAC,B Gum laceration,286622004-B
BILAT-SIDE GUM LACERATION,B Gum laceration,286622004-B
BILAT-SIDE H/A,B Headache,25064002-B
BILAT-SIDE HA,B Headache,25064002-B
BILAT-SIDE HA - HEADACHE,B Headache,25064002-B
BILAT-SIDE HAND ABSCESS ,B Hand abscess ,3633001-B
BILAT-SIDE HAND BURN,B Hand burn,14893008-B
BILAT-SIDE HAND CRUSH INJ,B Hand crush injury,50793006-B
BILAT-SIDE HAND CRUSH INJURY,B Hand crush injury,50793006-B
BILAT-SIDE HAND FRACTURE,B Hand fracture,20511007-B
BILAT-SIDE HAND FX,B Hand fracture,20511007-B
BILAT-SIDE HAND INJ,B Hand injury,125599006-B
BILAT-SIDE HAND INJURY,B Hand injury,125599006-B
BILAT-SIDE HAND LAC,B Hand laceration,284549007-B
BILAT-SIDE HAND LACERATION,B Hand laceration,284549007-B
BILAT-SIDE HAND LACS,B Hand laceration,284549007-B
BILAT-SIDE HAND NUMBNESS,B Hand numbness,309521004-B
BILAT-SIDE HAND PAIN,B Hand pain,53057004-B
BILAT-SIDE HAND REDNESS,B Hand redness,098fe948c5e811e4899b525400010026-B
BILAT-SIDE HAND SWELLING,B Hand swelling,299037003-B
BILAT-SIDE HAND TENDON INJ,B Hand tendon injury,262971000-B
BILAT-SIDE HAND TENDON INJURY,B Hand tendon injury,262971000-B
BILAT-SIDE HAND WEAKNESS,B Hand weakness,298283006-B
BILAT-SIDE HANDPAIN,B Hand pain,53057004-B
BILAT-SIDE HEAD ACHE,B Headache,25064002-B
BILAT-SIDE HEAD PAIN,B Headache,25064002-B
BILAT-SIDE HEADACHE,B Headache,25064002-B
BILAT-SIDE HEADACHES,B Headache,25064002-B
BILAT-SIDE HEARLING LOSS,B Hearling loss,103276001-B
BILAT-SIDE HEEL ABSCESS,B Heel abscess,91541006-B
BILAT-SIDE HEEL FX,B Calcaneus fx,263247007-B
BILAT-SIDE HEEL LAC,B Heel laceration,283395007-B
BILAT-SIDE HEEL LACERATION,B Heel laceration,283395007-B
BILAT-SIDE HEEL PAIN,B Heel pain,2733002-B
BILAT-SIDE HEEL ULCER,B Heel ulcer,301022003-B
BILAT-SIDE HIP ABSCESS,B Hip abscess,736004-B
BILAT-SIDE HIP BURN,B Hip burn,284226006-B
BILAT-SIDE HIP CRUSH INJ,B Hip crush injury,11730002-B
BILAT-SIDE HIP CRUSH INJURY,B Hip crush injury,11730002-B
BILAT-SIDE HIP FRACTURE,B Hip fracture,263225007-B
BILAT-SIDE HIP FX,B Hip fracture,263225007-B
BILAT-SIDE HIP INJ,B Hip injury,125600009-B
BILAT-SIDE HIP INJURY,B Hip injury,125600009-B
BILAT-SIDE HIP LAC,B Hip laceration,283384001-B
BILAT-SIDE HIP LACERATION,B Hip laceration,283384001-B
BILAT-SIDE HIP PAIN,B Hip pain,49218002-B
BILAT-SIDE HUMERUS FRACTURE,B Humerus fracture,66308002-B
BILAT-SIDE HUMERUS FX,B Humerus fracture,66308002-B
BILAT-SIDE INGUINAL PAIN,B Inguinal pain,102570003-B
BILAT-SIDE JAW PAIN,B Jaw pain,274667000-B
BILAT-SIDE KNEE BURN,B Knee burn,19684007-B
BILAT-SIDE KNEE CRUSH INJ,B Knee crush injury,38128008-B
BILAT-SIDE KNEE CRUSH INJURY,B Knee crush injury,38128008-B
BILAT-SIDE KNEE INJ,B Knee injury,125601008-B
BILAT-SIDE KNEE INJURY,B Knee injury,125601008-B
BILAT-SIDE KNEE LAC,B Knee laceration,283386004-B
BILAT-SIDE KNEE LACERATION,B Knee laceration,283386004-B
BILAT-SIDE KNEE PAIN,B Knee pain,30989003-B
BILAT-SIDE KNEE SWELLING,B Knee swelling,248491001-B
BILAT-SIDE LABIAL TEAR,B Labial tear,249221003-B
BILAT-SIDE LBP,B Lower back pain,279039007-B
BILAT-SIDE LBP - LOW BACK PAIN,B Lower back pain,279039007-B
BILAT-SIDE LE CELLULITIS,B Leg cellulitis,449710006-B
BILAT-SIDE LE DVT,B Leg DVT,404223003-B
BILAT-SIDE LE EDEMA,B Leg swelling,449614009-B
BILAT-SIDE LE INJ,B Leg injury,127279002-B
BILAT-SIDE LE INJURY,B Leg injury,127279002-B
BILAT-SIDE LE LAC,B Leg laceration,283357002-B
BILAT-SIDE LE LACERATION,B Leg laceration,283357002-B
BILAT-SIDE LE NUMBNESS,B Leg numbness,309537005-B
BILAT-SIDE LE PAIN,B Leg pain,10601006-B
BILAT-SIDE LE PARESTHESIA,B Lower extremity paresthesia,429783005-B
BILAT-SIDE LE REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
BILAT-SIDE LE SWELLING,B Leg swelling,449614009-B
BILAT-SIDE LE WEAKNESS,B Leg weakness,102568007-B
BILAT-SIDE LEG ABSCESS,B Leg abscess,315596001-B
BILAT-SIDE LEG BURN,B Leg burn,84677008-B
BILAT-SIDE LEG CELLULITIS,B Leg cellulitis,449710006-B
BILAT-SIDE LEG CRUSH INJ,B Leg crush injury,39595001-B
BILAT-SIDE LEG CRUSH INJURY,B Leg crush injury,39595001-B
BILAT-SIDE LEG DVT,B Leg DVT,404223003-B
BILAT-SIDE LEG INJ,B Leg injury,127279002-B
BILAT-SIDE LEG INJURY,B Leg injury,127279002-B
BILAT-SIDE LEG LAC,B Leg laceration,283357002-B
BILAT-SIDE LEG LACERATION,B Leg laceration,283357002-B
BILAT-SIDE LEG NUMBNESS,B Leg numbness,309537005-B
BILAT-SIDE LEG PAIN,B Leg pain,10601006-B
BILAT-SIDE LEG PARESTHESIA,B Lower extremity paresthesia,429783005-B
BILAT-SIDE LEG REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
BILAT-SIDE LEG SWELLING,B Leg swelling,449614009-B
BILAT-SIDE LEG WEAKNESS,B Leg weakness,102568007-B
BILAT-SIDE LIP LAC,B Lip laceration,283363006-B
BILAT-SIDE LIP LACERATION,B Lip laceration,283363006-B
BILAT-SIDE LIP SWELLING,B Lip swelling,163140002-B
BILAT-SIDE LOW BACK PAIN,B Lower back pain,279039007-B
BILAT-SIDE LOWER BACK PAIN,B Lower back pain,279039007-B
BILAT-SIDE LOWER EXTREMITY EDEMA,B Leg swelling,449614009-B
BILAT-SIDE LOWER EXTREMITY INJ,B Leg injury,127279002-B
BILAT-SIDE LOWER EXTREMITY INJURY,B Leg injury,127279002-B
BILAT-SIDE LOWER EXTREMITY NUMBNESS,B Leg numbness,309537005-B
BILAT-SIDE LOWER EXTREMITY PAIN,B Leg pain,10601006-B
BILAT-SIDE LOWER EXTREMITY PARESTHESIA,B Lower extremity paresthesia,429783005-B
BILAT-SIDE LOWER EXTREMITY SWELLING,B Leg swelling,449614009-B
BILAT-SIDE LOWER EXTREMITY WEAKNESS,B Leg weakness,102568007-B
BILAT-SIDE LOWER LEG BURN,B Lower leg burn,37696000-B
BILAT-SIDE LOWER LEG CRUSH INJ,B Lower leg crush injury,40874009-B
BILAT-SIDE LOWER LEG CRUSH INJURY,B Lower leg crush injury,40874009-B
BILAT-SIDE LOWER LEG INJ,B Lower leg injury,125602001-B
BILAT-SIDE LOWER LEG INJURY,B Lower leg injury,125602001-B
BILAT-SIDE LOWER LEG LAC,B Lower leg laceration,283387008-B
BILAT-SIDE LOWER LEG LACERATION,B Lower leg laceration,283387008-B
BILAT-SIDE LOWER LIMB ABSCESS,B Leg abscess,315596001-B
BILAT-SIDE LOWER LIMB BURN,B Leg burn,84677008-B
BILAT-SIDE MASTITIS,B Mastitis,45198002-B
BILAT-SIDE MAXILLARY FRACTURE,B Maxillary fracture,263156006-B
BILAT-SIDE MAXILLARY FX,B Maxillary fracture,263156006-B
BILAT-SIDE MIGRAINE,B Headache,25064002-B
BILAT-SIDE NAIL BED LAC,B Nail bed lac,446314003-B
BILAT-SIDE NAIL BED LACERATION,B Nail bed lac,446314003-B
BILAT-SIDE NAILBED LAC,B Nail bed lac,446314003-B
BILAT-SIDE NAILBED LACERATION,B Nail bed lac,446314003-B
BILAT-SIDE NASAL FOREIGN BODY,B Nose foriegn body,74699008-B
BILAT-SIDE NECK PAIN,B Neck pain,81680005-B
BILAT-SIDE NIPPLE ABSCESS,B Nipple abscess,237439001-B
BILAT-SIDE NIPPLE PAIN,B Nipple pain,225573003-B
BILAT-SIDE NOSE BLEED,B Epistaxis,249366005-B
BILAT-SIDE NOSE BLEEDING,B Epistaxis,249366005-B
BILAT-SIDE NOSE FORIEGN BODY,B Nose foriegn body,74699008-B
BILAT-SIDE NOSE LAC,B Nose laceration,373602003-B
BILAT-SIDE NOSE LACERATION,B Nose laceration,373602003-B
BILAT-SIDE NOSEBLEED,B Epistaxis,249366005-B
BILAT-SIDE NUMBESS,B Numbness,44077006-B
BILAT-SIDE NUMBNESS,B Numbness,44077006-B
BILAT-SIDE OPEN HIP FRACTURE,B Open hip fracture,361118003-B
BILAT-SIDE OPEN HIP FX,B Open hip fracture,361118003-B
BILAT-SIDE OPEN TIB FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
BILAT-SIDE OPEN TIB FIB FX,B Open Tib/Fib fracture,414943006-B
BILAT-SIDE OPEN TIB/FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
BILAT-SIDE OPEN TIB/FIB FX,B Open Tib/Fib fracture,414943006-B
BILAT-SIDE ORBITAL FLOOR FRACTURE,B Orbital floor fracture,207787008-B
BILAT-SIDE ORBITAL FLOOR FX,B Orbital floor fracture,207787008-B
BILAT-SIDE ORBITAL FRACTURE,B Orbital fracture,95851007-B
BILAT-SIDE ORBITAL FX,B Orbital fracture,95851007-B
BILAT-SIDE ORBITAL SWELLING,B Eye swelling,9404003-B
BILAT-SIDE PAIN,B Pain,22253000-B
BILAT-SIDE PATELLA FRACTURE,B Patella fracture,51037009-B
BILAT-SIDE PATELLA FX,B Patella fracture,51037009-B
BILAT-SIDE PEDAL EDEMA,B Pedal edema,102576009-B
BILAT-SIDE PELVIC LAC,B Pelvic laceration,283379007-B
BILAT-SIDE PELVIC LACERATION,B Pelvic laceration,283379007-B
BILAT-SIDE PELVIC PAIN,B Pelvic pain,30473006-B
BILAT-SIDE PLEURAL EFFUSION,B Pleural effusion,60046008-B
BILAT-SIDE PNEUMOTHORAX,B Pneumothorax,36118008-B
BILAT-SIDE PNEUMOTHRAX,B Pneumothorax,36118008-B
BILAT-SIDE POSITIVE DVT,B DVT,128053003-B
BILAT-SIDE PTX,B Pneumothorax,36118008-B
BILAT-SIDE PULSELESS FOOT,B Pulseless foot,422163002-B
BILAT-SIDE RADIUS FRACTURE,B Radius Fracture,12676007-B
BILAT-SIDE RADIUS FX,B Radius Fracture,12676007-B
BILAT-SIDE RIB FRACTURE,B Rib fracture,33737001-B
BILAT-SIDE RIB FX,B Rib fracture,33737001-B
BILAT-SIDE RIB INJ,B Rib Injury,282770002-B
BILAT-SIDE RIB INJURY,B Rib Injury,282770002-B
BILAT-SIDE RIB PAIN,B Rib pain,297217002-B
BILAT-SIDE RING STUCK,B Ring stuck on finger,248406004-B
BILAT-SIDE RING STUCK ON FINGER,B Ring stuck on finger,248406004-B
BILAT-SIDE RING TIGHT ON FINGERS,B Ring stuck on finger,248406004-B
BILAT-SIDE S/P CHEST PAIN,B Chest pain,29857009-B
BILAT-SIDE S/P CP,B Chest pain,29857009-B
BILAT-SIDE SCAPULA PAIN,B Scapula pain,20793008-B
BILAT-SIDE SCAPULAR PAIN,B Scapula pain,20793008-B
BILAT-SIDE SCROTAL INJ,B Scrotal injury,282782006-B
BILAT-SIDE SCROTAL INJURY,B Scrotal injury,282782006-B
BILAT-SIDE SCROTUM INJ,B Scrotal injury,282782006-B
BILAT-SIDE SCROTUM INJURY,B Scrotal injury,282782006-B
BILAT-SIDE SCROTUM LAC,B Scrotum laceration,283954003-B
BILAT-SIDE SCROTUM LACERATION,B Scrotum laceration,283954003-B
BILAT-SIDE SHIN INJ,B Shin injury,282774006-B
BILAT-SIDE SHIN INJURY,B Shin injury,282774006-B
BILAT-SIDE SHIN LAC,B Shin laceration,283388003-B
BILAT-SIDE SHIN LACERATION,B Shin laceration,283388003-B
BILAT-SIDE SHOULDER ABSCESS,B Shoulder abscess,17354003-B
BILAT-SIDE SHOULDER BURN,B Shoulder burn,57143002-B
BILAT-SIDE SHOULDER CRUSH INJ,B Shoulder crush injury,2591000-B
BILAT-SIDE SHOULDER CRUSH INJURY,B Shoulder crush injury,2591000-B
BILAT-SIDE SHOULDER DISLOCATION,B Shoulder dislocation,417076003-B
BILAT-SIDE SHOULDER INJ,B Shoulder injury,125594001-B
BILAT-SIDE SHOULDER INJURY,B Shoulder injury,125594001-B
